Date,Open,High,Low,Close,Adj Close,Volume
2011-08-03,13.223378,13.357398,12.812381,12.830250,12.577617,1161872
2011-08-04,12.562209,12.794511,11.650868,11.892105,11.657945,1006523
2011-08-05,11.704476,11.784889,10.721657,11.570455,11.342628,1471451
2011-08-08,10.953960,11.445369,10.730592,10.989699,10.773308,1510848
2011-08-09,10.811005,11.615129,10.793135,11.436435,11.211246,1152359
2011-08-10,11.347088,12.312037,10.891417,11.490043,11.263800,1398813
2011-08-11,11.364957,12.633686,11.364957,12.070799,11.833120,1233279
2011-08-12,12.088669,12.195885,11.686607,12.035061,11.798086,809427
2011-08-15,12.017191,12.731968,11.892105,12.338841,12.095884,441983
2011-08-16,12.231624,12.437123,11.838497,12.169081,11.929467,741042
2011-08-17,12.169081,12.276298,11.847432,12.061865,11.824362,916425
2011-08-18,11.758084,12.142277,11.481108,12.097604,11.859397,497833
2011-08-19,11.838497,12.472862,11.775954,12.097604,11.859397,542154
2011-08-22,12.231624,12.437123,11.927844,12.285233,12.043331,376285
2011-08-23,12.222690,12.419253,12.017191,12.329906,12.087126,629231
2011-08-24,12.410319,12.535405,11.802758,12.079734,11.841879,568456
2011-08-25,12.142277,12.142277,11.615129,11.829562,11.596634,521337
2011-08-26,11.865301,12.437123,11.615129,12.437123,12.192231,869641
2011-08-29,12.615817,13.509289,12.615817,13.419941,13.155697,884863
2011-08-30,13.509289,14.313413,13.259117,14.063241,13.786330,1078042
2011-08-31,14.322348,14.474238,14.000698,14.340217,14.057852,1075915
2011-09-01,14.965647,15.921662,14.920974,15.546404,15.240289,1445597
2011-09-02,15.171146,15.331970,14.340217,14.340217,14.057852,1280175
2011-09-05,13.902416,13.982828,13.455680,13.670113,13.400943,592744
2011-09-06,13.294855,14.161523,13.232312,14.045371,13.768812,1231488
2011-09-08,14.295543,14.813757,14.125784,14.545715,14.259304,622963
2011-09-09,14.259805,14.313413,13.527158,13.625440,13.357149,561965
2011-09-12,13.402072,14.447434,13.268051,14.447434,14.162959,696720
2011-09-13,14.456368,16.055681,14.420629,15.832314,15.520569,1829381
2011-09-14,16.082485,16.296921,15.019255,15.430252,15.126425,1455334
2011-09-15,15.465991,15.814445,14.617193,14.929908,14.635932,738691
